name,studio,theme,tags,source,rating,year,demographic,status,eps,eps_avg_duration_in_min,rated_by
Kamigami no Asobi,Brain's Base,"Isekai, Reverse Harem","Fantasy, Romance, Supernatural",Visual novel,7.02,2014,Shoujo,Finished,12.0,23.0,137000
Bishoujo Senshi Sailor Moon S,Toei Animation,Mahou Shoujo,"Drama, Romance",Manga,7.87,1994,Shoujo,Finished,38.0,24.0,135000
Donten ni Warau,Doga Kobo,Historical,"Action, Supernatural",Manga,7.5,2014,Shoujo,Finished,12.0,23.0,120000
Dance with Devils,Brain's Base,"Mythology, Reverse Harem, School, Vampire","Fantasy, Romance",Mixed media,6.24,2015,Shoujo,Finished,12.0,23.0,118000
Hakushaku to Yousei,Artland,Historical,"Adventure, Fantasy, Romance",Light novel,7.22,2008,Shoujo,Finished,12.0,25.0,117000
Gravitation,Studio Deen,Music,"Boys, Love, Comedy",Manga,6.95,2000,Shoujo,Finished,13.0,22.0,114000
Fukumenkei Noise,Brain's Base,"Music, School","Drama, Romance",Manga,6.97,2017,Shoujo,Finished,12.0,23.0,113000
Fushigi Yuugi,Pierrot,"Historical, Isekai, Martial Arts, Reverse Harem","Adventure, Comedy, Drama, Fantasy, Romance",Manga,7.62,1995,Shoujo,Finished,52.0,23.0,111000
Cardcaptor Sakura: Clear Card-hen,Madhouse,Mahou Shoujo,"Adventure, Comedy, Fantasy, Romance",Manga,7.65,2018,Shoujo,Finished,22.0,25.0,111000
Bishoujo Senshi Sailor Moon SuperS,Toei Animation,Mahou Shoujo,"Drama, Romance",Manga,7.61,1995,Shoujo,Finished,39.0,24.0,109000
Hakkenden: Touhou Hakken Ibun,Studio Deen,Mythology,"Action, Fantasy, Supernatural",Manga,7.4,2013,Shoujo,Finished,13.0,24.0,109000
Uta no☆Prince-sama♪ Maji Love 2000%,A-1 Pictures,"Idols (Male), Music, Reverse Harem, School","Comedy, Romance",Visual novel,7.19,2013,Shoujo,Finished,13.0,25.0,108000
Hiiro no Kakera,Studio Deen,Reverse Harem,"Fantasy, Romance, Supernatural",Visual novel,6.71,2012,Shoujo,Finished,13.0,24.0,107000
Kyou kara Maou!,Studio Deen,"Isekai, Mythology","Adventure, Comedy, Fantasy",Light novel,7.65,2004,Shoujo,Finished,78.0,25.0,105000
Hatsukoi Monster,Studio Deen,School,"Comedy, Romance",Manga,5.5,2016,Shoujo,Finished,12.0,24.0,105000
Bishoujo Senshi Sailor Moon: Sailor Stars,Toei Animation,Mahou Shoujo,"Adventure, Comedy, Drama, Fantasy, Romance",Manga,7.93,1996,Shoujo,Finished,34.0,24.0,104000
Full Moon wo Sagashite,Studio Deen,Music,"Comedy, Drama, Romance, Supernatural",Manga,7.94,2002,Shoujo,Finished,52.0,24.0,103000
Aishiteruze Baby★★,TMS Entertainment,Childcare,"Comedy, Drama, Romance",Manga,7.45,2004,Shoujo,Finished,26.0,25.0,99000
Shugo Chara!! Doki,Satelight,"Mahou Shoujo, School",Comedy,Manga,7.41,2008,Shoujo,Finished,51.0,24.0,98000
Peach Girl,Studio Comet,School,"Drama, Romance, Slice, of, Life",Manga,6.95,2005,Shoujo,Finished,25.0,24.0,95000
Uragiri wa Boku no Namae wo Shitteiru,J.C.Staff,Reincarnation,"Adventure, Boys, Love, Drama, Fantasy",Manga,7.22,2010,Shoujo,Finished,24.0,23.0,94000
Kiniro no Corda: Primo Passo,Yumeta Company,"Music, Reverse Harem, School","Comedy, Drama, Romance",Visual novel,7.43,2006,Shoujo,Finished,25.0,24.0,94000
Gakuen Alice,Group TAC,"Love Polygon, School, Super Power",Comedy,Manga,7.64,2004,Shoujo,Finished,26.0,25.0,94000
Versailles no Bara,Tokyo Movie Shinsha,"Historical, Military","Drama, Romance",Manga,8.33,1979,Shoujo,Finished,40.0,24.0,86000
Kaleido Star,Gonzo,Performing Arts,"Comedy, Drama, Fantasy",Original,7.91,2003,Shoujo,Finished,51.0,23.0,80000
Shounen Maid,8bit,Iyashikei,"Comedy, Slice, of, Life",Manga,7.29,2016,Shoujo,Finished,12.0,24.0,78000
X,Madhouse,Super Power,"Action, Drama, Fantasy, Romance",Manga,7.41,2001,Shoujo,Finished,24.0,24.0,77000
Yume-iro Pâtissière,Studio Hibari,School,Gourmet,Manga,7.84,2009,Shoujo,Finished,50.0,24.0,75000
Kenka Banchou Otome: Girl Beats Boys,A-Real,"Crossdressing, Martial Arts, School",Action,Visual novel,6.44,2017,Shoujo,Finished,12.0,8.0,75000
Mermaid Melody Pichi Pichi Pitch,Actas,"Mahou Shoujo, Music","Adventure, Comedy, Romance",Manga,7.12,2003,Shoujo,Finished,52.0,24.0,74000
Shugo Chara! Party!,Satelight,"Mahou Shoujo, School",Comedy,Manga,6.63,2009,Shoujo,Finished,25.0,21.0,70000
Juu Ou Sei,Bones,Shoujo,"Action, Adventure, Drama, Mystery, Sci-Fi",Manga,7.22,2006,Shoujo,Finished,11.0,22.0,69000
Fudanshi Koukou Seikatsu,EMT Squared,"Otaku Culture, School","Comedy, Slice, of, Life",4-koma manga,6.53,2016,Shoujo,Finished,12.0,3.0,68000
Hanasakeru Seishounen,Pierrot,Reverse Harem,"Drama, Romance",Manga,7.71,2009,Shoujo,Finished,39.0,24.0,65000
Maria-sama ga Miteru,Studio Deen,Shoujo,"Drama, Girls, Love, Romance, Slice, of, Life",Light novel,7.3,2004,Shoujo,Finished,13.0,24.0,64000
Magic Knight Rayearth,Tokyo Movie Shinsha,"Isekai, Mecha","Adventure, Comedy, Drama, Fantasy, Romance",Manga,7.46,1994,Shoujo,Finished,20.0,24.0,62000
Princess Princess,Studio Deen,"Crossdressing, School","Comedy, Drama",Manga,6.99,2006,Shoujo,Finished,12.0,24.0,61000
Kodomo no Omocha (TV),Gallop,"Love Polygon, Showbiz","Comedy, Drama, Romance",Manga,8.05,1996,Shoujo,Finished,102.0,22.0,61000
Mayonaka no Occult Koumuin,LIDENFILMS,"Mythology, Workplace","Fantasy, Mystery, Supernatural",Manga,6.73,2019,Shoujo,Finished,12.0,23.0,60000
Hakkenden: Touhou Hakken Ibun 2nd Season,Studio Deen,Mythology,"Action, Fantasy, Supernatural",Manga,7.63,2013,Shoujo,Finished,13.0,24.0,60000
Shin Shirayuki-hime Densetsu Prétear,Hal Film Maker,"Mahou Shoujo, Reverse Harem, Super Power","Comedy, Drama, Fantasy, Romance",Manga,7.17,2001,Shoujo,Finished,13.0,23.0,60000
Ayashi no Ceres,Pierrot,Psychological,"Adventure, Drama, Horror, Romance, Supernatural",Manga,7.2,2000,Shoujo,Finished,24.0,21.0,59000
Hana yori Dango,Toei Animation,"Love Polygon, School","Drama, Romance",Manga,7.63,1996,Shoujo,Finished,51.0,25.0,57000
Uta no☆Prince-sama♪ Maji Love Revolutions,A-1 Pictures,"Idols (Male), Music, Reverse Harem, School","Comedy, Romance",Visual novel,7.02,2015,Shoujo,Finished,13.0,24.0,57000
Amatsuki,Studio Deen,"Historical, Mythology, Time Travel","Action, Fantasy, Supernatural",Manga,6.89,2008,Shoujo,Finished,13.0,23.0,56000
Bishoujo Senshi Sailor Moon Crystal Season III,Toei Animation,"Mahou Shoujo, Mythology",Romance,Manga,7.75,2016,Shoujo,Finished,13.0,24.0,54000
Shounen Onmyouji,Studio Deen,"Historical, Mythology","Action, Fantasy, Supernatural",Light novel,7.56,2006,Shoujo,Finished,26.0,23.0,53000
Yami no Matsuei,J.C.Staff,Vampire,"Boys, Love, Comedy, Drama, Fantasy, Horror",Manga,7.04,2000,Shoujo,Finished,13.0,23.0,53000
Kamikaze Kaitou Jeanne,Toei Animation,"Mahou Shoujo, Mythology, Reincarnation","Action, Drama, Mystery, Romance, Supernatural",Manga,7.46,1999,Shoujo,Finished,44.0,24.0,53000
Marmalade Boy,Toei Animation,Shoujo,"Comedy, Drama, Romance",Manga,7.45,1994,Shoujo,Finished,76.0,24.0,51000
Hiiro no Kakera 2,Studio Deen,Reverse Harem,"Fantasy, Romance, Supernatural",Visual novel,7.18,2012,Shoujo,Finished,13.0,24.0,51000
Baraou no Souretsu,J.C.Staff,Historical,"Action, Drama, Supernatural",Manga,6.3,2022,Shoujo,Finished,24.0,23.0,50000
Kamichama Karin,Satelight,"Mahou Shoujo, School","Comedy, Fantasy, Romance",Manga,7.21,2007,Shoujo,Finished,26.0,24.0,49000
Suki na Mono wa Suki Dakara Shou ga Nai!!,Zexcs,Shoujo,"Boys, Love, Comedy, Drama, Romance, Slice, of, Life",Visual novel,6.66,2005,Shoujo,Finished,12.0,24.0,48000
Meiji Tokyo Renka,TMS Entertainment,"Historical, Reverse Harem, Time Travel","Romance, Supernatural",Visual novel,7.02,2019,Shoujo,Finished,12.0,23.0,48000
Futari wa Precure,Toei Animation,Mahou Shoujo,"Action, Comedy, Fantasy",Original,7.05,2004,Shoujo,Finished,49.0,24.0,44000
B-Project: Kodou*Ambitious,A-1 Pictures,Music,None,Mixed media,6.6,2016,Shoujo,Finished,12.0,24.0,44000
Mermaid Melody Pichi Pichi Pitch Pure,Actas,"Mahou Shoujo, Music","Adventure, Comedy, Romance",Manga,7.16,2004,Shoujo,Finished,39.0,25.0,41000
Oniisama e...,Tezuka Productions,"Psychological, School","Drama, Girls, Love",Manga,7.83,1991,Shoujo,Finished,39.0,25.0,41000
Aikatsu!,Sunrise,"Idols (Female), Music, School","Slice, of, Life",Original,7.43,2012,Shoujo,Finished,178.0,24.0,40000
Uta no☆Prince-sama♪ Maji Love Legend Star,A-1 Pictures,"Idols (Male), Music, Reverse Harem","Comedy, Romance",Visual novel,7.15,2016,Shoujo,Finished,13.0,24.0,39000
Yume-iro Pâtissière SP Professional,Studio Hibari,Shoujo,"Gourmet, Slice, of, Life",Manga,7.58,2010,Shoujo,Finished,13.0,24.0,39000
Smile Precure!,Toei Animation,Mahou Shoujo,"Action, Fantasy",Original,6.75,2012,Shoujo,Finished,48.0,24.0,38000
Sugar Sugar Rune,Pierrot,Shoujo,Fantasy,Manga,7.48,2005,Shoujo,Finished,51.0,24.0,37000
Kyuuketsuhime Miyu (TV),AIC,"Mythology, Vampire","Action, Drama, Horror",Manga,7.16,1997,Shoujo,Finished,26.0,25.0,37000
Glass no Kamen (2005),Tokyo Movie Shinsha,"Performing Arts, Showbiz",Drama,Manga,8.06,2005,Shoujo,Finished,51.0,25.0,36000
Neo Angelique Abyss,Yumeta Company,Reverse Harem,"Comedy, Fantasy, Romance",Visual novel,6.81,2008,Shoujo,Finished,13.0,24.0,36000
Seiyou Kottou Yougashiten: Antique,Nippon Animation,Shoujo,"Boys, Love, Comedy, Gourmet",Manga,7.02,2008,Shoujo,Finished,12.0,22.0,36000
Tokyo Mew Mew New ♡,Graphinica,Mahou Shoujo,"Comedy, Fantasy, Romance, Sci-Fi",Manga,6.72,2022,Shoujo,Airing,12.0,24.0,33000
12-sai.: Chicchana Mune no Tokimeki,OLM,School,Romance,Manga,6.4,2016,Shoujo,Finished,12.0,24.0,32000
Kyou kara Maou! 3rd Series,Studio Deen,"Isekai, Mythology","Adventure, Comedy, Fantasy",Light novel,7.76,2008,Shoujo,Finished,39.0,24.0,32000
Demashita! Powerpuff Girls Z,Toei Animation,"School, Super Power","Action, Comedy, Sci-Fi, Slice, of, Life",Other,6.41,2006,Shoujo,Finished,52.0,25.0,31000
Ultra Maniac,Production Reed,School,"Comedy, Romance",Manga,7.16,2003,Shoujo,Finished,26.0,24.0,31000
Magic Knight Rayearth II,TMS Entertainment,"Isekai, Mecha","Adventure, Drama, Fantasy, Romance",Manga,7.51,1995,Shoujo,Finished,29.0,24.0,31000
Kirarin☆Revolution,G&G Entertainment,Showbiz,"Comedy, Drama, Romance",Manga,7.05,2006,Shoujo,Finished,153.0,22.0,29000
Ashita no Nadja,Toei Animation,Historical,"Adventure, Drama, Romance",Original,7.6,2003,Shoujo,Finished,50.0,24.0,29000
Heartcatch Precure!,Toei Animation,School,"Action, Comedy, Fantasy, Slice, of, Life",Original,7.83,2010,Shoujo,Finished,49.0,24.0,29000
Bakumatsu Rock,Studio Deen,"Historical, Music","Action, Comedy",Game,6.03,2014,Shoujo,Finished,12.0,23.0,28000
Candy Candy,Toei Animation,Shoujo,"Drama, Slice, of, Life",Manga,7.54,1976,Shoujo,Finished,115.0,25.0,28000
Les Misérables: Shoujo Cosette,Nippon Animation,Historical,"Drama, Slice, of, Life",Novel,7.88,2007,Shoujo,Finished,52.0,24.0,26000
Maria-sama ga Miteru: Haru,Studio Deen,School,"Drama, Girls, Love, Romance",Light novel,7.64,2004,Shoujo,Finished,13.0,24.0,26000
Kiniro no Corda: Blue♪Sky,TYO Animations,"Music, Reverse Harem, School",None,Visual novel,6.41,2014,Shoujo,Finished,12.0,23.0,26000
