name,studio,theme,tags,source,rating,year,demographic,status,eps,eps_avg_duration_in_min,rated_by
Shingeki no Kyojin,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,8.53,2013,Shounen,Finished,25.0,24.0,3500000
Death Note,Madhouse,Psychological,"Supernatural, Suspense",Manga,8.62,2006,Shounen,Finished,37.0,23.0,3500000
Fullmetal Alchemist: Brotherhood,Bones,Military,"Action, Adventure, Drama, Fantasy",Manga,9.13,2009,Shounen,Finished,64.0,24.0,3000000
Boku no Hero Academia,Bones,"School, Super Power",Action,Manga,7.92,2016,Shounen,Finished,13.0,24.0,2700000
Naruto,Pierrot,Martial Arts,"Action, Adventure, Fantasy",Manga,7.97,2002,Shounen,Finished,220.0,23.0,2500000
Kimetsu no Yaiba,ufotable,Historical,"Action, Fantasy",Manga,8.54,2019,Shounen,Finished,26.0,23.0,2500000
Hunter x Hunter (2011),Madhouse,Shounen,"Action, Adventure, Fantasy",Manga,9.04,2011,Shounen,Finished,148.0,23.0,2500000
Shingeki no Kyojin Season 2,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,8.5,2017,Shounen,Finished,12.0,24.0,2400000
Boku no Hero Academia 2nd Season,Bones,"School, Super Power",Action,Manga,8.14,2017,Shounen,Finished,25.0,23.0,2300000
Naruto: Shippuuden,Pierrot,Martial Arts,"Action, Adventure, Fantasy",Manga,8.24,2007,Shounen,Finished,500.0,23.0,2200000
Shingeki no Kyojin Season 3,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,8.62,2018,Shounen,Finished,12.0,23.0,2000000
Shigatsu wa Kimi no Uso,A-1 Pictures,"Music, School","Drama, Romance",Manga,8.66,2014,Shounen,Finished,22.0,22.0,2000000
Noragami,Bones,Mythology,"Action, Fantasy",Manga,7.96,2014,Shounen,Finished,12.0,24.0,2000000
Jujutsu Kaisen,MAPPA,School,"Action, Fantasy",Manga,8.67,2020,Shounen,Finished,24.0,23.0,2000000
One Piece,Toei Animation,Shounen,"Action, Adventure, Fantasy",Manga,8.66,1999,Shounen,Airing,13.0,24.0,2000000
Boku no Hero Academia 3rd Season,Bones,"School, Super Power",Action,Manga,8.07,2018,Shounen,Finished,25.0,23.0,1900000
Shingeki no Kyojin Season 3 Part 2,Wit Studio,"Gore, Military, Survival","Action, Drama",Manga,9.07,2019,Shounen,Finished,10.0,23.0,1900000
Akame ga Kill!,White Fox,"Gore, Super Power","Action, Fantasy",Manga,7.47,2014,Shounen,Finished,24.0,23.0,1900000
Nanatsu no Taizai,A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,7.7,2014,Shounen,Finished,24.0,24.0,1900000
Mirai Nikki (TV),asread.,"Gore, High Stakes Game, Psychological, Survival","Action, Supernatural, Suspense",Manga,7.44,2011,Shounen,Finished,26.0,23.0,1900000
Ansatsu Kyoushitsu,Lerche,School,"Action, Comedy",Manga,8.1,2015,Shounen,Finished,22.0,23.0,1800000
Ao no Exorcist,A-1 Pictures,"Mythology, School","Action, Fantasy",Manga,7.51,2011,Shounen,Finished,25.0,24.0,1800000
Haikyuu!!,Production I.G,"School, Team Sports",Sports,Manga,8.45,2014,Shounen,Finished,25.0,24.0,1700000
Yakusoku no Neverland,CloverWorks,"Psychological, Survival","Mystery, Sci-Fi, Suspense",Manga,8.53,2019,Shounen,Finished,12.0,22.0,1700000
Bleach,Pierrot,Shounen,"Action, Adventure, Fantasy",Manga,7.87,2004,Shounen,Finished,366.0,24.0,1700000
Shingeki no Kyojin: The Final Season,MAPPA,"Gore, Military, Survival","Action, Drama",Manga,8.83,2020,Shounen,Finished,16.0,23.0,1700000
Fairy Tail,A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,7.58,2009,Shounen,Finished,175.0,24.0,1600000
Shokugeki no Souma,J.C.Staff,School,"Gourmet, Ecchi",Manga,8.18,2015,Shounen,Finished,24.0,25.0,1500000
Boku no Hero Academia 4th Season,Bones,"School, Super Power",Action,Manga,7.94,2019,Shounen,Finished,25.0,24.0,1500000
Soul Eater,Bones,Shounen,"Action, Comedy, Fantasy, Supernatural",Manga,7.84,2008,Shounen,Finished,51.0,23.0,1500000
Dr. Stone,TMS Entertainment,"Survival, Time Travel","Adventure, Comedy, Sci-Fi",Manga,8.29,2019,Shounen,Finished,24.0,24.0,1500000
JoJo no Kimyou na Bouken (TV),David Production,Vampire,"Action, Adventure, Supernatural",Manga,7.91,2012,Shounen,Finished,26.0,24.0,1500000
Black Clover,Pierrot,Shounen,"Action, Comedy, Fantasy",Manga,8.13,2017,Shounen,Finished,170.0,23.0,1400000
Highschool of the Dead,Madhouse,"Gore, Survival","Action, Horror, Supernatural, Ecchi",Manga,7.08,2010,Shounen,Finished,12.0,24.0,1400000
Fullmetal Alchemist,Bones,Military,"Action, Adventure, Drama, Fantasy",Manga,8.12,2003,Shounen,Finished,51.0,24.0,1400000
Noragami Aragoto,Bones,Mythology,"Action, Fantasy",Manga,8.17,2015,Shounen,Finished,13.0,24.0,1300000
Kakegurui,MAPPA,"High Stakes Game, Psychological, School, Strategy Game","Drama, Mystery",Manga,7.26,2017,Shounen,Finished,12.0,24.0,1300000
Haikyuu!! Second Season,Production I.G,"School, Team Sports",Sports,Manga,8.64,2015,Shounen,Finished,25.0,24.0,1300000
Ansatsu Kyoushitsu 2nd Season,Lerche,School,"Action, Comedy",Manga,8.5,2016,Shounen,Finished,25.0,23.0,1300000
Owari no Seraph,Wit Studio,"Military, Vampire","Action, Drama, Supernatural",Manga,7.49,2015,Shounen,Finished,12.0,23.0,1200000
Deadman Wonderland,Manglobe,"Gore, High Stakes Game, Survival","Action, Horror, Sci-Fi, Supernatural",Manga,7.16,2011,Shounen,Finished,12.0,24.0,1100000
Enen no Shouboutai,David Production,Shounen,"Action, Supernatural",Manga,7.7,2019,Shounen,Finished,24.0,23.0,1100000
Dragon Ball Z,Toei Animation,"Martial Arts, Super Power","Action, Adventure, Comedy, Fantasy",Manga,8.15,1989,Shounen,Finished,291.0,24.0,1100000
Kuroko no Basket,Production I.G,"School, Team Sports",Sports,Manga,8.07,2012,Shounen,Finished,25.0,24.0,1100000
Kuroshitsuji,A-1 Pictures,"Historical, Mythology","Action, Comedy, Mystery, Supernatural",Manga,7.68,2008,Shounen,Finished,24.0,24.0,1100000
Horimiya,CloverWorks,School,Romance,Manga,8.21,2021,Shounen,Finished,13.0,23.0,1100000
Nisekoi,Shaft,"Harem, School","Comedy, Romance",Manga,7.59,2014,Shounen,Finished,20.0,24.0,1100000
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Production I.G,"School, Team Sports",Sports,Manga,8.79,2016,Shounen,Finished,10.0,24.0,1100000
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,David Production,Shounen,"Action, Adventure, Drama, Supernatural",Manga,8.1,2014,Shounen,Finished,24.0,24.0,1100000
Dororo,MAPPA,"Historical, Mythology, Samurai","Action, Adventure, Supernatural",Manga,8.24,2019,Shounen,Finished,24.0,24.0,1000000
Shokugeki no Souma: Ni no Sara,J.C.Staff,School,"Gourmet, Ecchi",Manga,8.11,2016,Shounen,Finished,13.0,24.0,1000000
Nanatsu no Taizai: Imashime no Fukkatsu,A-1 Pictures,Shounen,"Action, Adventure, Fantasy, Supernatural",Manga,7.62,2018,Shounen,Finished,24.0,24.0,1000000
Spy x Family,CloverWorks,Childcare,"Action, Comedy",Manga,8.77,2022,Shounen,Finished,12.0,24.0,1000000
Tokyo Revengers,LIDENFILMS,"Delinquents, School, Time Travel","Action, Drama, Supernatural",Manga,8.09,2021,Shounen,Finished,24.0,23.0,998000
Kimetsu no Yaiba: Yuukaku-hen,ufotable,Historical,"Action, Fantasy",Manga,8.85,2021,Shounen,Finished,11.0,26.0,979000
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,David Production,Shounen,"Action, Adventure, Comedy, Drama, Supernatural",Manga,8.5,2016,Shounen,Finished,39.0,23.0,968000
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,David Production,Shounen,"Action, Adventure, Drama, Supernatural",Manga,8.44,2015,Shounen,Finished,24.0,23.0,965000
Gintama,Sunrise,"Gag Humor, Historical, Parody, Samurai","Action, Comedy, Sci-Fi",Manga,8.95,2006,Shounen,Finished,201.0,24.0,964000
Magi: The Labyrinth of Magic,A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,8.02,2012,Shounen,Finished,25.0,24.0,957000
Saiki Kusuo no Ψ-nan,Egg Firm,"Gag Humor, School","Comedy, Supernatural",Manga,8.42,2016,Shounen,Finished,120.0,5.0,953000
Boku no Hero Academia 5th Season,Bones,"School, Super Power",Action,Manga,7.42,2021,Shounen,Finished,25.0,23.0,952000
Shingeki no Kyojin: The Final Season Part 2,MAPPA,"Gore, Military, Survival","Action, Drama",Manga,8.81,2022,Shounen,Finished,12.0,23.0,937000
Dragon Ball,Toei Animation,"Martial Arts, Super Power","Adventure, Comedy, Fantasy",Manga,7.96,1986,Shounen,Finished,153.0,24.0,932000
Fairy Tail (2014),A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,7.66,2014,Shounen,Finished,102.0,24.0,903000
Shokugeki no Souma: San no Sara,J.C.Staff,School,"Gourmet, Ecchi",Manga,8.03,2017,Shounen,Finished,12.0,24.0,886000
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,David Production,Organized Crime,"Action, Adventure",Manga,8.58,2018,Shounen,Finished,39.0,23.0,873000
Dr. Stone: Stone Wars,TMS Entertainment,"Survival, Time Travel","Adventure, Comedy, Sci-Fi",Manga,8.18,2021,Shounen,Finished,11.0,24.0,856000
"Kanojo, Okarishimasu",TMS Entertainment,Shounen,"Comedy, Romance",Manga,7.17,2020,Shounen,Finished,12.0,24.0,837000
Yakusoku no Neverland 2nd Season,CloverWorks,"Psychological, Survival","Sci-Fi, Suspense",Manga,5.34,2021,Shounen,Finished,11.0,22.0,824000
5-toubun no Hanayome,Tezuka Productions,"Harem, School","Comedy, Romance",Manga,7.68,2019,Shounen,Finished,12.0,24.0,808000
Nichijou,Kyoto Animation,"Gag Humor, School",Comedy,Manga,8.46,2011,Shounen,Finished,26.0,23.0,805000
Mahoutsukai no Yome,Wit Studio,Shounen,"Fantasy, Slice, of, Life",Manga,8.07,2017,Shounen,Finished,24.0,24.0,802000
Haikyuu!! To the Top,Production I.G,"School, Team Sports",Sports,Manga,8.36,2020,Shounen,Finished,13.0,24.0,802000
Kekkai Sensen,Bones,"Super Power, Vampire","Action, Comedy, Fantasy, Supernatural",Manga,7.61,2015,Shounen,Finished,12.0,26.0,791000
Magi: The Kingdom of Magic,A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,8.23,2013,Shounen,Finished,25.0,25.0,779000
Kuroko no Basket 2nd Season,Production I.G,"School, Team Sports",Sports,Manga,8.23,2013,Shounen,Finished,25.0,24.0,773000
Boruto: Naruto Next Generations,Pierrot,Martial Arts,"Action, Adventure, Fantasy",Manga,5.79,2017,Shounen,Airing,13.0,23.0,771000
Trinity Seven,Seven Arcs Pictures,"Harem, School","Action, Comedy, Fantasy, Romance, Supernatural, Ecchi",Manga,7.08,2014,Shounen,Finished,12.0,24.0,768000
Masamune-kun no Revenge,SILVER LINK.,"Harem, School","Comedy, Romance",Manga,6.74,2017,Shounen,Finished,12.0,24.0,762000
Beastars,Orange,"Anthropomorphic, Psychological, School","Drama, Slice, of, Life",Manga,7.87,2019,Shounen,Finished,12.0,22.0,753000
Great Teacher Onizuka,Pierrot,"Delinquents, School, Workplace","Comedy, Drama",Manga,8.69,1999,Shounen,Finished,43.0,25.0,743000
Dragon Ball Super,Toei Animation,"Martial Arts, Super Power","Action, Adventure, Comedy, Fantasy",Manga,7.42,2015,Shounen,Finished,131.0,23.0,735000
InuYasha,Sunrise,"Historical, Mythology, Time Travel","Action, Adventure, Comedy, Fantasy, Romance, Supernatural",Manga,7.85,2000,Shounen,Finished,167.0,24.0,727000
Yamada-kun to 7-nin no Majo,LIDENFILMS,"Harem, School","Comedy, Mystery, Romance, Supernatural",Manga,7.57,2015,Shounen,Finished,12.0,24.0,714000
Owari no Seraph: Nagoya Kessen-hen,Wit Studio,"Military, Vampire","Action, Drama, Supernatural",Manga,7.62,2015,Shounen,Finished,12.0,23.0,712000
Fumetsu no Anata e,Brain's Base,Shounen,"Adventure, Drama, Supernatural",Manga,8.38,2021,Shounen,Finished,20.0,25.0,710000
"Komi-san wa, Comyushou desu.",OLM,"Romantic Subtext, School",Comedy,4-koma manga,8.0,2021,Shounen,Finished,12.0,23.0,695000
Ao no Exorcist: Kyoto Fujouou-hen,A-1 Pictures,"Mythology, School","Action, Fantasy",Manga,7.36,2017,Shounen,Finished,12.0,24.0,690000
Kakegurui××,MAPPA,"High Stakes Game, Psychological, School, Strategy Game","Drama, Mystery",Manga,7.2,2019,Shounen,Finished,12.0,24.0,688000
Kuroko no Basket 3rd Season,Production I.G,"School, Team Sports",Sports,Manga,8.31,2015,Shounen,Finished,25.0,24.0,683000
Haikyuu!! To the Top Part 2,Production I.G,"School, Team Sports",Sports,Manga,8.54,2020,Shounen,Finished,12.0,23.0,682000
Trigun,Madhouse,Adult Cast,"Action, Adventure, Comedy, Drama, Sci-Fi",Manga,8.22,1998,Shounen,Finished,26.0,24.0,675000
Nanatsu no Taizai: Seisen no Shirushi,A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,7.0,2016,Shounen,Finished,4.0,24.0,655000
Tsurezure Children,Studio Gokumi,School,"Comedy, Romance",4-koma manga,7.58,2017,Shounen,Finished,12.0,12.0,655000
Domestic na Kanojo,Diomedéa,"Love Polygon, School","Drama, Romance",Manga,6.69,2019,Shounen,Finished,12.0,25.0,652000
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,J.C.Staff,School,"Gourmet, Ecchi",Manga,7.98,2018,Shounen,Finished,12.0,24.0,651000
D.Gray-man,TMS Entertainment,"Mythology, Super Power","Action, Adventure, Comedy",Manga,8.02,2006,Shounen,Finished,103.0,23.0,650000
Nanatsu no Taizai: Kamigami no Gekirin,Studio Deen,Shounen,"Action, Adventure, Fantasy, Supernatural",Manga,6.45,2019,Shounen,Finished,24.0,24.0,645000
Nisekoi:,Shaft,"Harem, School","Comedy, Romance",Manga,7.36,2015,Shounen,Finished,12.0,24.0,640000
Rosario to Vampire,Gonzo,"Harem, School, Vampire","Comedy, Fantasy, Romance, Ecchi",Manga,6.76,2008,Shounen,Finished,13.0,25.0,639000
Enen no Shouboutai: Ni no Shou,David Production,Shounen,"Action, Supernatural",Manga,7.79,2020,Shounen,Finished,24.0,24.0,635000
Claymore,Madhouse,"Gore, Mythology, Super Power","Action, Adventure, Fantasy, Supernatural",Manga,7.75,2007,Shounen,Finished,26.0,23.0,625000
Yuu☆Yuu☆Hakusho,Pierrot,"Martial Arts, Mythology","Action, Comedy, Supernatural",Manga,8.45,1992,Shounen,Finished,112.0,24.0,614000
Tonikaku Kawaii,Seven Arcs,Shounen,"Comedy, Romance",Manga,7.91,2020,Shounen,Finished,12.0,23.0,610000
Hataraku Saibou,David Production,"Anthropomorphic, Educational, Medical",Comedy,Manga,7.57,2018,Shounen,Finished,13.0,23.0,593000
5-toubun no Hanayome ∬,Bibury Animation Studios,"Harem, School","Comedy, Romance",Manga,8.11,2021,Shounen,Finished,12.0,24.0,591000
To LOVE-Ru,Xebec,"Harem, School","Comedy, Romance, Sci-Fi, Ecchi",Manga,7.0,2008,Shounen,Finished,26.0,24.0,591000
Kami nomi zo Shiru Sekai,Manglobe,"Harem, Otaku Culture","Comedy, Romance, Supernatural",Manga,7.67,2010,Shounen,Finished,12.0,23.0,588000
Bakuman.,J.C.Staff,Otaku Culture,"Comedy, Drama, Romance",Manga,8.19,2010,Shounen,Finished,25.0,24.0,580000
Dragon Ball GT,Toei Animation,Super Power,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Manga,6.47,1996,Shounen,Finished,64.0,24.0,579000
Sankarea,Studio Deen,Shounen,"Comedy, Horror, Romance, Supernatural, Ecchi",Manga,7.3,2012,Shounen,Finished,12.0,24.0,566000
Zetsuen no Tempest,Bones,Psychological,"Action, Drama, Fantasy, Mystery",Manga,7.93,2012,Shounen,Finished,24.0,24.0,561000
Saiki Kusuo no Ψ-nan 2,Egg Firm,"Gag Humor, School","Comedy, Supernatural",Manga,8.43,2018,Shounen,Finished,24.0,24.0,558000
Beelzebub,Pierrot Plus,"Childcare, Delinquents, Mythology, School","Action, Comedy, Supernatural",Manga,7.87,2011,Shounen,Finished,60.0,24.0,554000
Gintama°,Bandai Namco Pictures,"Gag Humor, Historical, Parody, Samurai","Action, Comedy, Sci-Fi",Manga,9.08,2015,Shounen,Finished,51.0,24.0,552000
Shokugeki no Souma: Shin no Sara,J.C.Staff,School,"Gourmet, Ecchi",Manga,7.75,2019,Shounen,Finished,12.0,24.0,543000
Hunter x Hunter,Nippon Animation,Shounen,"Action, Adventure, Fantasy",Manga,8.4,1999,Shounen,Finished,62.0,23.0,533000
Karakai Jouzu no Takagi-san,Shin-Ei Animation,"Iyashikei, Romantic Subtext, School",Comedy,Manga,7.72,2018,Shounen,Finished,12.0,23.0,528000
Kuroshitsuji II,A-1 Pictures,"Historical, Mythology","Action, Comedy, Supernatural",Manga,7.16,2010,Shounen,Finished,12.0,24.0,527000
Katekyo Hitman Reborn!,Artland,"Organized Crime, Super Power","Action, Comedy",Manga,8.14,2006,Shounen,Finished,203.0,24.0,526000
Jibaku Shounen Hanako-kun,Lerche,School,"Comedy, Supernatural",Manga,7.85,2020,Shounen,Finished,12.0,24.0,505000
Hajime no Ippo,Madhouse,Combat Sports,Sports,Manga,8.75,2000,Shounen,Finished,75.0,23.0,496000
Gintama',Sunrise,"Gag Humor, Historical, Parody, Samurai","Action, Comedy, Sci-Fi",Manga,9.05,2011,Shounen,Finished,51.0,24.0,487000
Chainsaw Man,MAPPA,Gore,"Action, Adventure",Manga,7.35,2022,Shounen,Not Aired,13.0,24.0,482000
Kimetsu no Yaiba: Mugen Ressha-hen,ufotable,Historical,"Action, Fantasy",Manga,8.38,2021,Shounen,Finished,7.0,24.0,480000
Darwin's Game,Nexus,"High Stakes Game, Super Power, Survival","Action, Mystery, Sci-Fi",Manga,7.25,2020,Shounen,Finished,11.0,26.0,478000
Hajimete no Gal,NAZ,School,"Comedy, Romance, Ecchi",Manga,6.29,2017,Shounen,Finished,10.0,23.0,475000
Inu x Boku SS,David Production,Shounen,"Comedy, Romance, Supernatural",Manga,7.4,2012,Shounen,Finished,12.0,24.0,474000
Sousei no Onmyouji,Pierrot,Shounen,"Action, Fantasy, Romance, Supernatural",Manga,7.3,2016,Shounen,Finished,50.0,24.0,468000
Seitokai Yakuindomo,GoHands,"Gag Humor, School",Comedy,4-koma manga,7.57,2010,Shounen,Finished,13.0,24.0,459000
Shokugeki no Souma: Gou no Sara,J.C.Staff,School,"Gourmet, Ecchi",Manga,7.32,2020,Shounen,Finished,13.0,23.0,458000
Rurouni Kenshin: Meiji Kenkaku Romantan,Gallop,"Historical, Samurai","Action, Adventure, Comedy, Romance",Manga,8.29,1996,Shounen,Finished,94.0,25.0,457000
Aho Girl,Diomedéa,School,"Comedy, Romance",4-koma manga,6.78,2017,Shounen,Finished,12.0,12.0,449000
Sora no Otoshimono,AIC ASTA,Harem,"Comedy, Romance, Sci-Fi, Supernatural, Ecchi",Manga,7.28,2009,Shounen,Finished,13.0,24.0,449000
Fairy Tail: Final Series,A-1 Pictures,Shounen,"Action, Adventure, Fantasy",Manga,7.56,2018,Shounen,Finished,51.0,23.0,448000
Magi: Sinbad no Bouken (TV),Lay-duce,Shounen,"Action, Adventure, Fantasy",Manga,7.85,2016,Shounen,Finished,13.0,24.0,442000
Gabriel DropOut,Doga Kobo,"Mythology, School","Comedy, Supernatural",Manga,7.46,2017,Shounen,Finished,12.0,23.0,421000
Dagashi Kashi,feel.,Romantic Subtext,"Comedy, Gourmet",Manga,6.61,2016,Shounen,Finished,12.0,24.0,418000
Vanitas no Karte,Bones,"Historical, Vampire",Supernatural,Manga,7.91,2021,Shounen,Finished,12.0,23.0,411000
Pandora Hearts,Xebec,Shounen,"Adventure, Fantasy, Mystery, Supernatural",Manga,7.67,2009,Shounen,Finished,25.0,24.0,408000
Kekkai Sensen & Beyond,Bones,"Super Power, Vampire","Action, Comedy, Fantasy, Supernatural",Manga,7.81,2017,Shounen,Finished,12.0,24.0,393000
Bokutachi wa Benkyou ga Dekinai,Arvo Animation,"Harem, School","Comedy, Romance",Manga,7.3,2019,Shounen,Finished,13.0,23.0,388000
Kyokou Suiri,Brain's Base,Mythology,"Mystery, Romance, Supernatural",Manga,6.91,2020,Shounen,Finished,12.0,24.0,385000
Mairimashita! Iruma-kun,Bandai Namco Pictures,"Isekai, Mythology, School","Comedy, Fantasy, Supernatural",Manga,7.75,2019,Shounen,Finished,23.0,23.0,383000
Beastars 2nd Season,Orange,"Anthropomorphic, Psychological, School","Drama, Slice, of, Life",Manga,7.84,2021,Shounen,Finished,12.0,22.0,380000
World Trigger,Toei Animation,School,"Action, Sci-Fi, Supernatural",Manga,7.58,2014,Shounen,Finished,73.0,23.0,373000
Tasogare Otome x Amnesia,SILVER LINK.,School,"Horror, Mystery, Romance, Supernatural",Manga,7.83,2012,Shounen,Finished,12.0,23.0,373000
Keijo!!!!!!!!,Xebec,Combat Sports,"Sports, Ecchi",Manga,6.94,2016,Shounen,Finished,12.0,23.0,370000
Kuroshitsuji: Book of Circus,A-1 Pictures,"Historical, Mythology","Action, Comedy, Mystery, Supernatural",Manga,8.07,2014,Shounen,Finished,10.0,24.0,369000
Kami nomi zo Shiru Sekai II,Manglobe,"Harem, Otaku Culture","Comedy, Romance, Supernatural",Manga,7.89,2011,Shounen,Finished,12.0,23.0,368000
Yu☆Gi☆Oh! Duel Monsters,Gallop,Strategy Game,"Action, Adventure, Fantasy",Manga,7.47,2000,Shounen,Finished,224.0,23.0,362000
Nanatsu no Taizai: Fundo no Shinpan,Studio Deen,Shounen,"Action, Adventure, Fantasy, Supernatural",Manga,6.58,2021,Shounen,Finished,24.0,24.0,360000
Plunderer,GEEK TOYS,Shounen,"Action, Fantasy, Ecchi",Manga,6.6,2020,Shounen,Finished,24.0,22.0,355000
Arslan Senki (TV),LIDENFILMS,"Historical, Military","Action, Adventure, Drama, Fantasy",Manga,7.67,2015,Shounen,Finished,25.0,24.0,352000
Dragon Ball Kai,Toei Animation,"Martial Arts, Super Power","Action, Adventure, Comedy, Fantasy",Manga,7.71,2009,Shounen,Finished,97.0,23.0,349000
To LOVE-Ru Darkness,Xebec,"Harem, School","Comedy, Romance, Sci-Fi, Ecchi",Manga,7.44,2012,Shounen,Finished,12.0,23.0,344000
Shaman King,Xebec,Super Power,"Action, Adventure, Comedy, Supernatural",Manga,7.76,2001,Shounen,Finished,64.0,23.0,344000
Busou Shoujo Machiavellianism,Connect,School,"Action, Comedy",Manga,6.9,2017,Shounen,Finished,12.0,23.0,343000
"Komi-san wa, Comyushou desu. 2nd Season",OLM,"Romantic Subtext, School",Comedy,Manga,8.14,2022,Shounen,Finished,12.0,23.0,339000
Yuukoku no Moriarty,Production I.G,"Historical, Psychological","Mystery, Suspense",Manga,8.15,2020,Shounen,Finished,11.0,23.0,338000
Platinum End,Signal.MD,Psychological,"Drama, Supernatural",Manga,6.11,2021,Shounen,Finished,24.0,24.0,334000
Air Gear,Toei Animation,Shounen,"Action, Ecchi",Manga,7.5,2006,Shounen,Finished,25.0,24.0,333000
Bakuman. 2nd Season,J.C.Staff,Otaku Culture,"Comedy, Drama, Romance",Manga,8.36,2011,Shounen,Finished,25.0,24.0,333000
Sayonara Zetsubou Sensei,Shaft,"Gag Humor, Parody, School",Comedy,Manga,7.87,2007,Shounen,Finished,12.0,24.0,325000
Kishuku Gakkou no Juliet,LIDENFILMS,School,"Action, Comedy, Romance",Manga,7.45,2018,Shounen,Finished,12.0,24.0,322000
Kami nomi zo Shiru Sekai: Megami-hen,Manglobe,"Harem, Otaku Culture","Comedy, Romance, Supernatural",Manga,8.02,2013,Shounen,Finished,12.0,24.0,321000
Kemono Jihen,Ajia-Do,Mythology,"Action, Mystery, Supernatural",Manga,7.41,2021,Shounen,Finished,12.0,23.0,318000
Detective Conan,TMS Entertainment,Detective,"Adventure, Comedy, Mystery",Manga,8.16,1996,Shounen,Airing,13.0,25.0,316000
Yofukashi no Uta,LIDENFILMS,Vampire,"Romance, Supernatural",Manga,8.06,2022,Shounen,Airing,13.0,22.0,312000
School Rumble,Studio Comet,"Gag Humor, Love Polygon, School","Comedy, Romance",Manga,7.9,2004,Shounen,Finished,26.0,23.0,311000
Bakuman. 3rd Season,J.C.Staff,Otaku Culture,"Comedy, Drama, Romance",Manga,8.54,2012,Shounen,Finished,25.0,24.0,310000
Beck,Madhouse,Music,"Comedy, Drama, Slice, of, Life",Manga,8.29,2004,Shounen,Finished,26.0,25.0,310000
Motto To LOVE-Ru,Xebec,"Harem, School","Comedy, Sci-Fi, Ecchi",Manga,7.29,2010,Shounen,Finished,12.0,24.0,310000
Code:Breaker,Kinema Citrus,"School, Super Power","Action, Comedy, Supernatural",Manga,6.73,2012,Shounen,Finished,13.0,24.0,309000
Seto no Hanayome,AIC,"Organized Crime, Parody, School","Comedy, Romance",Manga,7.68,2007,Shounen,Finished,26.0,24.0,309000
Ballroom e Youkoso,Production I.G,"Performing Arts, School","Comedy, Drama, Romance, Sports",Manga,8.19,2017,Shounen,Finished,24.0,24.0,298000
"Kanojo, Okarishimasu 2nd Season",TMS Entertainment,Shounen,"Comedy, Romance",Manga,6.51,2022,Shounen,Airing,12.0,24.0,297000
Araburu Kisetsu no Otome-domo yo.,Lay-duce,School,"Comedy, Drama, Romance",Manga,7.36,2019,Shounen,Finished,12.0,24.0,295000
Kakushigoto,Ajia-Do,"Childcare, Gag Humor, Otaku Culture",Comedy,Manga,8.0,2020,Shounen,Finished,12.0,23.0,294000
Isshuukan Friends.,Brain's Base,School,"Comedy, Slice, of, Life",4-koma manga,7.54,2014,Shounen,Finished,12.0,23.0,294000
Kanojo mo Kanojo,Tezuka Productions,"Harem, School","Comedy, Romance",Manga,6.56,2021,Shounen,Finished,12.0,24.0,291000
Karakai Jouzu no Takagi-san 2,Shin-Ei Animation,"Iyashikei, Romantic Subtext, School",Comedy,Manga,8.08,2019,Shounen,Finished,12.0,23.0,291000
Gintama': Enchousen,Sunrise,"Gag Humor, Historical, Parody, Samurai","Action, Comedy, Sci-Fi",Manga,9.04,2012,Shounen,Finished,13.0,24.0,290000
Shijou Saikyou no Deshi Kenichi,TMS Entertainment,"Martial Arts, School","Action, Comedy",Manga,8.07,2006,Shounen,Finished,50.0,25.0,281000
Densetsu no Yuusha no Densetsu,Zexcs,Shounen,"Action, Adventure, Fantasy",Light novel,7.53,2010,Shounen,Finished,24.0,24.0,280000
Munou na Nana,Bridge,"Psychological, Super Power","Supernatural, Suspense",Manga,7.19,2020,Shounen,Finished,13.0,23.0,280000
Tensura Nikki: Tensei shitara Slime Datta Ken,8bit,"Isekai, Reincarnation","Comedy, Fantasy, Slice, of, Life",Manga,7.58,2021,Shounen,Finished,12.0,23.0,278000
Gintama.,Bandai Namco Pictures,"Gag Humor, Historical, Parody, Samurai","Action, Comedy, Sci-Fi",Manga,8.99,2017,Shounen,Finished,12.0,24.0,276000
Sora no Otoshimono: Forte,AIC ASTA,Harem,"Comedy, Romance, Sci-Fi, Supernatural, Ecchi",Manga,7.47,2010,Shounen,Finished,12.0,23.0,276000
Fuuka,Diomedéa,"Music, School","Drama, Romance, Ecchi",Manga,6.51,2017,Shounen,Finished,12.0,24.0,274000
Gin no Saji,A-1 Pictures,School,"Comedy, Slice, of, Life",Manga,8.09,2013,Shounen,Finished,11.0,23.0,272000
